[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 2359 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 3866 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 5247 from 1001
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 2364 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 4727 from 1001
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 2097 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 5910 from 1001
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 7519 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 7249 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 2613 from 1001
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 3812 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 4527 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 1360 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 5679 from 1001
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 8790 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 3062 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 3485 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 4325 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 2928 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 932 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 8367 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 4945 from 1001
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
